node, X_Crd(UTM14), Y_Crd(UTM14), BOTTOM
551,712948.4375,3111627.5,0.214
552,712967.25,3149969.75,-0.055
553,713012.5625,3145741.5,-0.182
554,712637,3114681,-1
555,712995.0625,3147758.25,0.706
556,713006.5625,3121387.75,0.902
557,713117.1875,3120659.5,-0.485
558,713014,3150096.75,-0.177
559,713013.1875,3150749,-0.2
560,713153.5,3119802.75,-0.605
561,713060.4375,3151269.75,0.874
562,713014.3125,3150431,-0.2
563,713075.8125,3149879,-0.024
564,713094.375,3112850,-1
565,713154.1875,3146353.75,0.05
566,713145.875,3147238.5,0.674
567,712843.4375,3113701.25,-1
568,713144.4375,3150209,-0.2
569,713166.0625,3150023,-0.178
570,713180.25,3143022.5,-0.587
571,713287.375,3112110,-0.657
572,713166.25,3118861.25,-1
573,713242.5,3141072.25,0.114
574,713245.0625,3150595.5,-0.226
575,713363.5,3150853,-0.379
576,713343.3125,3122541,1.295
577,713323.6875,3150373.5,-0.201
578,713221,3141884.25,-0.538
579,713373.8125,3149869.5,0.368
580,713421,3150113.25,-0.153
581,713428,3111477.25,0.013
582,713431.625,3146865.5,2.138
583,713283.4375,3117683,-0.142
584,713665.6875,3145457.75,-0.216
585,713496.75,3149751.25,-0.35
586,713352.6875,3117078.5,-0.305
587,713510.6875,3150571,-0.478
588,713511.3125,3149384.75,0.22
589,713529.875,3149576.25,-0.187
590,713557.125,3140669.25,0.757
591,713571.5,3144084,-0.536
592,713626.0625,3145973.75,-0.022
593,713593.875,3118148,-0.643
594,713607.375,3151607.25,0.949
595,713606.5625,3150320.75,-0.339
596,713628.4375,3122234.75,1.395
597,713496.25,3115311.5,-1
598,713635.8125,3149888.25,0.018
599,713663.375,3149688.25,0.019
600,713696.8125,3150109.25,-0.365
601,713730.6875,3121290.5,-0.512
602,713954.375,3142497.75,-0.787
603,713705.4375,3146421,2.041
604,713562.5,3116249,-0.272
605,713706.8125,3148909.25,0.165
606,713962.5,3120348,-0.584
607,713874.3125,3119391.75,-0.595
608,713611.4375,3151150.75,-0.552
609,713565.875,3114424.25,-1
610,713740.0625,3150782,-0.695
611,713846.1875,3112673.5,-0.761
612,713692.625,3141277.25,-0.54
613,713774.375,3149507.5,0.633
614,713840.625,3111863.25,0.586
615,713918.6875,3149967.75,-0.515
616,713785.25,3150501.25,-0.695
617,713880.0625,3149718.5,0.165
618,713860.3125,3144867.25,-0.444
619,713901.9375,3150256.75,-0.607
620,713724.3125,3113523,-0.97
621,713894.5625,3151352.75,-0.552
622,713934.25,3149186.25,0.238
623,714092.375,3145816.75,0.064
624,713977,3118624,-0.651
625,714060.3125,3117526.25,0.511
626,714276.8125,3143347,-0.687
627,714002.625,3151039.75,-0.627
628,714127.5625,3149491.25,0.238
629,714107.6875,3148650.5,0.413
630,714112.375,3151927.25,0.72
631,714025.125,3151598.75,-0.519
632,714166.375,3121902.75,-0.049
633,714126.125,3146051.75,1.686
634,714139.25,3116932,0.046
635,714141.75,3118045.5,-0.51
636,714160.4375,3149767.25,0.106
637,714197.875,3122746,1.396
638,714169.625,3141764,-0.875
639,714230.1875,3152009.25,0.917
640,714233.125,3115091.75,0.539
641,714237.1875,3150065.75,-0.538
642,714226.25,3151366.75,-0.589
643,714167.0625,3150575.75,-0.92
644,714295.5625,3140259.25,1.183
645,714285,3151740,-0.522
646,714353.75,3115748.25,0.359
647,714389.25,3151934.5,-0.423
648,714272.8125,3140996.5,-0.621
649,714367.8125,3152098.25,1.337
650,714476,3119712,-0.478
651,714374.8125,3116430.75,-0.098
652,714377.5625,3149174.5,0.768
653,714376.3125,3151011.25,-0.92
654,714494.875,3151543.5,-0.59
655,714461.1875,3114237.5,-0.527
656,714473.0625,3152163,-0.304
657,714469.5,3145437.5,0.029
658,714481.375,3124711,1.128
659,714516.6875,3151799.25,-0.56
660,714546.6875,3152025.75,-0.536
661,714510.5,3119002.5,-1
662,714505.375,3151281.75,-0.881
663,714534.75,3113251.5,-0.619
664,714574.4375,3146163,1.859
665,714575.375,3118294.25,0.646
666,714595.8125,3112443.5,0.064
667,714600,3123301.5,1.329
668,714636.25,3150233,-0.597
669,714621.5,3152246.75,0.824
670,714625.375,3124158.75,0.227
671,714638.75,3149593.75,0.818
672,714656.75,3150715.5,-0.92
673,714677.75,3151877.75,-0.61
674,714706.6875,3151673.75,-0.614
675,714503.0625,3121210,-0.525
676,714661.375,3144447.25,-0.453
677,714771.625,3122033,-0.482
678,714717.375,3139990.75,0.589
679,714780.5,3152060.25,-0.576
680,714699.9375,3151087.5,-0.92
681,714766.5625,3124426,0.973
682,714729.3125,3151400,-0.909
683,714791.5,3152317,0.794
684,714915.25,3122759,-0.535
685,714924.0625,3142471.5,-0.98
686,714838.3125,3151829.5,-0.62
687,714933.625,3113777.25,-0.118
688,714944,3152182.5,-0.515
689,714955.5625,3123701.75,1.393
690,714953.0625,3141456.5,-1
691,714964.1875,3152384.25,0.789
692,715369.4375,3143558.75,-0.63
693,714979.9375,3115124.75,0.025
694,714882.9375,3120368.75,-0.498
695,714992.8125,3131134.5,-0.479
696,714995.8125,3112743.5,1.227
697,715002.5,3149957.75,0.198
698,715149.75,3119449.25,-0.62
699,715010.6875,3118544.5,0.824
700,714982.875,3151593.25,-0.901
701,715033,3131656.25,-0.483
702,714945.8125,3150896.25,-0.92
703,714986.1875,3151219.5,-0.92
704,715043.875,3151942.25,-0.611
705,715256.625,3114469.5,-0.494
706,715140.0625,3152209,-0.531
707,715139.625,3152451.75,0.405
708,715145.9375,3146810.75,1.812
709,715146.0625,3123644.5,1.289
710,715129.3125,3146026.25,1.5
711,715096.1875,3123311,-2.414
712,715186.3125,3113362.75,0.553
713,714968.75,3140553.25,-0.605
714,715199.1875,3139745,0.907
715,715302.875,3145285,1.511
716,715238.3125,3130607.5,-0.495
717,715238.5,3124190,0.55
718,715115.1875,3150490,-0.59
719,715287.4375,3151716.5,-0.92
720,715278.8125,3146963.75,1.793
721,715333.6875,3152004.75,-0.599
722,715288.375,3151372,-0.92
723,715329.8125,3152550.25,0.255
724,715342.875,3122262.5,-0.939
725,715366.375,3132116.5,-0.496
726,715270.875,3150968.75,-0.92
727,715381.875,3147086.75,1.767
728,715504.375,3121317.5,-1.115
729,715501.5625,3147191.75,1.74
730,715510.0625,3151825.5,-0.7
731,715525.125,3118939.75,0.518
732,715415.125,3152289,-0.562
733,715519.875,3146536,1.777
734,715563,3124426,0.357
735,715617.875,3131464,-0.805
736,715577.5,3113983.25,0.139
737,715779.25,3144550.75,0.541
738,715477.625,3123559.5,-0.401
739,715565.75,3151560.75,-0.92
740,715482.8125,3122899.5,-0.922
741,715581.25,3141075,-1
742,715641.625,3149997,0.11
743,715655.625,3139528.25,1.454
744,715680.6875,3130163,-0.564
745,715652.375,3150661.75,-0.861
746,715605.4375,3152045.5,-0.62
747,715626.1875,3152476,-0.615
748,715726.0625,3115188.25,0.447
749,715701.875,3120175.25,-0.61
750,715752.6875,3132439.5,-0.374
751,715943.375,3142797.5,-0.802
752,715637.25,3151172.5,-0.793
753,715757.9375,3151800,-0.73
754,715791.375,3152742.75,0.73
755,715763.25,3145926,1.469
756,715722.3125,3146995.75,1.704
757,715731,3152286,-0.619
758,715861.375,3114505.5,0.677
759,715762.125,3140349.75,-0.783
760,715877.625,3124111.25,0.617
761,715932.1875,3130623.25,-1
762,715863.5,3152512.25,-0.026
763,715801.9375,3141879,-1
764,715922.875,3152783.75,0.841
765,715884.9375,3152068,-0.589
766,715941.1875,3119402,0.457
767,715965.125,3147655.25,1.607
768,715913.4375,3151478.5,-0.562
769,715968,3152691.5,0.609
770,715990.75,3152325.5,-0.336
771,716040.4375,3122303.5,-1.391
772,716014.75,3145321.75,1.096
773,716027.0625,3152815.5,0.934
774,716033.125,3132926.25,-0.476
775,716044.75,3124750.5,0.289
776,716016,3131935.75,-0.917
777,716073.75,3152551.5,0.035
778,716068,3151821.5,-0.295
779,716079.6875,3146493,0.59
780,716024.5,3123201.25,-0.892
781,716114.625,3129741.75,-0.499
782,716125.1875,3129155.25,-0.541
783,716129.5,3152743.5,0.813
784,716159.5,3152877.25,0.83
785,716156.5625,3152130,0.326
786,716132.5625,3150993.25,1.339
787,716234.875,3152405,1.026
788,716202.0625,3137424.5,1.086
789,716202.0625,3138112.75,1.342
790,716202.0625,3149721.75,-0.11
791,716116.75,3150349.75,-0.562
792,716255.75,3152631.25,1.138
793,716241.4375,3125311,1.192
794,716411.875,3121511.75,-1.684
795,716280.75,3136913.25,-0.13
796,716293.0625,3152893.75,-1.566
797,716376.0625,3151929,-2.532
798,716371.5,3132400,-0.546
799,716345.3125,3133434.25,-0.491
800,716319.125,3151523.25,0.054
801,716352.75,3119838.5,0.029
